PhraseID,phrase,voice,output_file,matched_audio_file,status
998,Li havas amrilaton,spomenka,0843_li_havas_amrilaton.wav,0843_li_estas_en_rilato.wav,generated
1921,Mi ŝatus grandigi ĉi tiujn fotojn,spomenka,1766_mi_sxatus_grandigi_cxi_tiujn_fotojn.wav,1766_mi_sxatus_grandigi_cxi_tiujn_fotografiojn.wav,generated
2271,Kie mi pagu por parkumado?,spomenka,2116_kie_mi_pagu_por_parkumado.wav,2116_kie_estas_la_parkometro.wav,generated
2290,Vi preterpasos superbazaron maldekstre,spomenka,2135_vi_preterpasos_superbazaron_maldekstre.wav,2135_vi_pasos_superbazaron_maldekstre.wav,generated
2464,Mi ŝatus aldoni 10 pundojn al ĝi,spomenka,2309_mi_sxatus_aldoni_10_pundojn_al_gxi.wav,2309_mi_sxatus_aldoni_10_funtojn_al_gxi.wav,generated
2870,Mi bezonas deterganton,spomenka,2715_mi_bezonas_deterganton.wav,2715_mi_bezonas_detergenton.wav,generated
2885,Mi bezonas rulon da adhera plastfolio,spomenka,2730_mi_bezonas_rulon_da_adhera_plastfolio.wav,2730_mi_bezonas_rulon_da_adherema_filmo.wav,generated
3192,La sekvajn trinkaĵojn mi pagas,spomenka,3037_la_sekvajn_trinkajxojn_mi_pagas.wav,3037_la_sekvan_rondon_mi_pagas.wav,generated
3226,Ĉu vi ŝatas fumaĵitan viandon?,spomenka,3071_cxu_vi_sxatas_fumajxitan_viandon.wav,3071_cxu_vi_sxatas_fumitan_viandon.wav,generated
3229,Mi prenos la fumaĵitan truton,spomenka,3074_mi_prenos_la_fumajxitan_truton.wav,3074_mi_prenos_la_fumitan_truton.wav,generated
3330,Li ŝatas kaporojn,spomenka,3175_li_sxatas_kaporojn.wav,3175_li_sxatas_kaperojn.wav,generated
3347,Mi ŝatas cerealaĵojn,spomenka,3192_mi_sxatas_cerealajxojn.wav,3192_mi_sxatas_cerealojn.wav,generated
3999,Kiom kostas lui plonĝkostumon por unu tago?,spomenka,3844_kiom_kostas_lui_plongxkostumon_por_unu_tago.wav,3844_kiom_kostas_lui_malsekkostumon_por_unu_tago.wav,generated
4014,La rezulto estis egala,spomenka,3859_la_rezulto_estis_egala.wav,3859_estis_remiso.wav,generated
4385,Mi ŝatus tinkturigi miajn harojn,spomenka,4230_mi_sxatus_tinkturigi_miajn_harojn.wav,4230_mi_sxatus_ilin_farbigi.wav,generated
4387,Bonvolu tinkturi miajn harojn blonde,spomenka,4232_bonvolu_tinkturi_miajn_harojn_blonde.wav,4232_bonvolu_farbi_miajn_harojn_blonde.wav,generated
4403,"Malantaŭe laŭgrade mallongigite, mi petas",spomenka,4248_malantauxe_lauxgrade_mallongigite_mi_petas.wav,4248_malantauxe_kojne_mi_petas.wav,generated
4941,Bonvolu pesi ĉi tiun pakaĵon,spomenka,4786_bonvolu_pesi_cxi_tiun_pakajxon.wav,4786_bonvolu_pezi_cxi_tiun_pakajxon.wav,generated
