PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
190,Delonge ni ne intervidiĝis,0035_delonge_ni_ne_intervidigxis,0035_delonge_ni_ne_vidigxis.wav,prefix
374,"Vian atenton, mi petas!",0219_vian_atenton_mi_petas,0219_cxu_mi_povus_havi_vian_atenton.wav,prefix
753,Ĉu vi bonvolus diri al mi vian nomon kaj adreson?,0598_cxu_vi_bonvolus_diri_al_mi_vian_nomon_kaj_adreson,0598_cxu_mi_povas_havi_vian_nomon_kaj_adreson.wav,prefix
769,Vi fartos bone,0614_vi_fartos_bone,0614_cxio_estos_bone_kun_vi.wav,prefix
1201,Ni manĝu eksterhejme hodiaŭ vespere,1046_ni_mangxu_eksterhejme_hodiaux_vespere,1046_ni_mangxu_ekstere_hodiaux_vespere.wav,prefix
1208,Ĉu vi havas amrilaton kun iu?,1053_cxu_vi_havas_amrilaton_kun_iu,1053_cxu_vi_renkontigxas_kun_iu.wav,prefix
1559,Per kio vi vivtenas vin?,1404_per_kio_vi_vivtenas_vin,1404_per_kio_vi_gajnas_vian_vivon.wav,prefix
1703,Ĉu vi estas lerta pri komputiloj?,1548_cxu_vi_estas_lerta_pri_komputiloj,1548_cxu_vi_estas_komputile_klera.wav,prefix
1734,Ĉu oni repagos al mi la vojaĝkostojn?,1579_cxu_oni_repagos_al_mi_la_vojagxkostojn,1579_cxu_mi_ricevos_vojagxkostojn.wav,prefix
1764,Ŝi estos tre valora por via programo,1609_sxi_estos_tre_valora_por_via_programo,1609_sxi_estos_bonega_aldono_al_via_programo.wav,prefix
1841,Iru plu rekte antaŭen ĉirkaŭ unu kilometron,1686_iru_plu_rekte_antauxen_cxirkaux_unu_kilometron,1686_dauxrigu_rekte_antauxen_cxirkaux_unu_kilometron.wav,prefix
1853,Iru plu preter la fajrobrigadejo,1698_iru_plu_preter_la_fajrobrigadejo,1698_dauxrigu_preter_la_fajrobrigadejo.wav,prefix
1854,Iru plu ankoraŭ ducent metrojn,1699_iru_plu_ankoraux_ducent_metrojn,1699_dauxrigu_ankoraux_ducent_metrojn.wav,prefix
1855,Iru plu ankoraŭ duonkilometron,1700_iru_plu_ankoraux_duonkilometron,1700_dauxrigu_ankoraux_duonkilometron.wav,prefix
1856,Iru plu rekte preter kelkaj semaforoj,1701_iru_plu_rekte_preter_kelkaj_semaforoj,1701_dauxrigu_rekte_preter_kelkaj_semaforoj.wav,prefix
1968,En ĉi tiu aviadilo ne plu estas lokoj,1813_en_cxi_tiu_aviadilo_ne_plu_estas_lokoj,1813_sur_cxi_tiu_aviadilo_ne_plu_estas_lokoj.wav,prefix
1987,Ĉu estas liberaj lokoj por ĉi tiu flugo?,1832_cxu_estas_liberaj_lokoj_por_cxi_tiu_flugo,1832_cxu_estas_liberaj_lokoj_sur_cxi_tiu_flugo.wav,prefix
2158,"Ĉu en la aviadilo estas stevardino, kiu parolas la hebrean?",2003_cxu_en_la_aviadilo_estas_stevardino_kiu_parolas_la_hebrean,2003_cxu_sur_la_aviadilo_estas_stevardino_kiu_parolas_la_hebrean.wav,prefix
2620,Ĉu en la ĉambro estas televidilo?,2465_cxu_en_la_cxambro_estas_televidilo,2465_cxu_en_la_cxambro_estas_televido.wav,prefix
2640,Mi ŝatus rezervi,2485_mi_sxatus_rezervi,2485_mi_sxatus_fari_rezervon.wav,prefix
2684,Mi rezervis,2529_mi_rezervis,2529_mi_faris_rezervon.wav,prefix
2704,Ĉambroj estas rezervitaj por mi kaj mia familio,2549_cxambroj_estas_rezervitaj_por_mi_kaj_mia_familio,2549_rezervoj_estis_faritaj_por_mi_kaj_mia_familio.wav,prefix
2918,Ĉu vi povus rezervi tablon por mi?,2763_cxu_vi_povus_rezervi_tablon_por_mi,2763_cxu_vi_povus_fari_rezervon_por_mi.wav,prefix
2925,"Kien vi kutime iras, kiam vi manĝas eksterhejme?",2770_kien_vi_kutime_iras_kiam_vi_mangxas_eksterhejme,2770_kien_vi_kutime_iras_kiam_vi_mangxas_ekstere.wav,prefix
3013,Kion vi ŝatus mendi?,2858_kion_vi_sxatus_mendi,2858_kion_vi_sxatus_havi.wav,prefix
3053,Ĉu la manĝaĵo estas servata kun legomoj?,2898_cxu_la_mangxajxo_estas_servata_kun_legomoj,2898_cxu_la_mangxajxo_venas_kun_legomoj.wav,prefix
3248,Li prenos kradrostitan karpon,3093_li_prenos_kradrostitan_karpon,3093_li_havos_kradrostitan_karpon.wav,prefix
3298,Li manĝos kelkajn tomatojn,3143_li_mangxos_kelkajn_tomatojn,3143_li_havos_kelkajn_tomatojn.wav,prefix
3334,Li manĝos iom da faboj,3179_li_mangxos_iom_da_faboj,3179_li_havos_iom_da_faboj.wav,prefix
3568,Ĉu instrukcioj estas inkluzivitaj?,3413_cxu_instrukcioj_estas_inkluzivitaj,3413_cxu_gxi_venas_kun_instrukcioj.wav,prefix
3788,Tiam mi iros aliloken,3633_tiam_mi_iros_aliloken,3633_tiam_mi_iros_ien_alian.wav,prefix
4171,"Ĉu vi volas, ke mi ŝaltu la televidilon?",4016_cxu_vi_volas_ke_mi_sxaltu_la_televidilon,4016_cxu_vi_volas_ke_mi_sxaltu_la_televidon.wav,prefix
4284,Mi ŝatus elpreni monon,4129_mi_sxatus_elpreni_monon,4129_mi_sxatus_fari_retiron.wav,prefix
4341,Necesas kaŭcio egala al unu-monata lupago,4186_necesas_kauxcio_egala_al_unu_monata_lupago,4186_necesas_deponajxo_je_unu_monata_lupago.wav,prefix
4411,Ĉu mi metu ion sur la harojn?,4256_cxu_mi_metu_ion_sur_la_harojn,4256_cxu_vi_sxatus_ion_sur_gxi.wav,prefix
4419,Mi ŝatus haŭtflegadon de la vizaĝo,4264_mi_sxatus_hauxtflegadon_de_la_vizagxo,4264_mi_sxatus_havi_traktadon_de_la_vizagxo.wav,prefix
4455,Ĉu vi povas ripari la televidilon?,4300_cxu_vi_povas_ripari_la_televidilon,4300_cxu_vi_povas_ripari_la_televidon.wav,prefix
4561,Mi havas kapturnon,4406_mi_havas_kapturnon,4406_mi_sentas_min_kapturna.wav,prefix
4650,Vi devus redukti vian alkoholtrinkadon,4495_vi_devus_redukti_vian_alkoholtrinkadon,4495_vi_devus_redukti_vian_trinkadon.wav,prefix
4708,Li bezonas fortajn okulvitrojn,4553_li_bezonas_fortajn_okulvitrojn,4553_li_havas_grandajn_dioptriojn.wav,prefix
4871,"Je kioma horo oni atendas, ke li revenos?",4716_je_kioma_horo_oni_atendas_ke_li_revenos,4716_je_kioma_horo_li_estas_atendata_reveni.wav,prefix
